Lon,lat,dep£¨Lon istead£©,b1,b2,b3,b4,b5,b6,b8,b10
83.38801575,17.78602791,4.527,0.009872831,0.012480226,0.014899353,0.006077039,0.005780635,0.007535155,0.007476248,0.003456328
83.38932037,17.78474808,7.046,0.008737157,0.010987783,0.012120076,0.004993482,0.004582645,0.00605411,0.006115435,0.002535659
83.38645172,17.78189278,1.599,0.010732634,0.014513827,0.020049207,0.008697013,0.007177393,0.007913996,0.007680257,0.003821635
83.39136505,17.78264427,8.989,0.007228515,0.009106894,0.009572656,0.003629035,0.003328083,0.004085802,0.004364211,0.001612017
83.38793182,17.78647995,3.423,0.009875714,0.012692513,0.018459776,0.008442787,0.007101088,0.008314196,0.008111659,0.003787489
83.38774109,17.78630257,3.411,0.009876273,0.012745125,0.017209157,0.007239227,0.006530811,0.00805534,0.008154376,0.003860996
83.38868713,17.78692245,4.392,0.009459687,0.011845894,0.014897489,0.006298976,0.005736596,0.007231175,0.007560911,0.00327255
83.38643646,17.7808075,1.006,0.010547002,0.01545227,0.021441745,0.013187276,0.011079717,0.008644302,0.008183547,0.004481253
83.38801575,17.78593826,4.244,0.009987323,0.012426091,0.014697318,0.006077039,0.005780201,0.007491245,0.00756164,0.003456388
83.38732147,17.78305626,2.85,0.010091468,0.013204013,0.017097324,0.006737063,0.005772169,0.007268074,0.007089726,0.003491417
83.38630676,17.78469467,0.775,0.014081913,0.01705122,0.024948122,0.014714333,0.01201754,0.009655234,0.01001514,0.004559349
83.38739777,17.78197098,1.786,0.010080093,0.013404561,0.018393295,0.007266219,0.00581004,0.006871901,0.006281125,0.00304943
83.38624573,17.78054047,0.977,0.019492935,0.018852161,0.026173372,0.02106956,0.016417051,0.011709022,0.015356412,0.007198182
83.38695526,17.78414345,2.253,0.010982593,0.01295119,0.016303411,0.007771099,0.006571328,0.008182764,0.008067157,0.00389714
83.3901825,17.78545952,7.738,0.008381899,0.010298903,0.01136184,0.004812271,0.004448093,0.005793022,0.00564848,0.002314735
83.39134979,17.78129005,9.604,0.008800474,0.009043388,0.00895681,0.00339648,0.00323224,0.004339493,0.004187902,0.00157342
83.39176178,17.78408623,10.011,0.009234064,0.009589722,0.010033333,0.004127444,0.003819245,0.005045199,0.00491936,0.001760368
83.38865662,17.78466606,6.071,0.009213698,0.011520316,0.013331849,0.005310494,0.005334177,0.006749816,0.00628704,0.002720184
83.38672638,17.78098488,0.903,0.010545684,0.014086034,0.019942967,0.009448527,0.00717191,0.007346647,0.007718103,0.003452802
83.38606262,17.78081322,0.263,0.014748284,0.016607385,0.024085788,0.018817311,0.017291632,0.013004006,0.011353703,0.008116341
83.38800812,17.78530502,4.518,0.009985087,0.011528519,0.014042834,0.00602928,0.005690884,0.007403638,0.007559867,0.003309132
83.38608551,17.78261948,1.048,0.012261203,0.014994476,0.021502709,0.010796177,0.00911507,0.008652922,0.008741772,0.004447134
83.3865509,17.78198051,1.523,0.010732482,0.014775455,0.019998215,0.008519704,0.007177393,0.007913996,0.007595645,0.003748051
83.38631439,17.785326,0.646,0.017969109,0.017785566,0.02499871,0.017019866,0.012500838,0.011469172,0.011282179,0.005404192
83.3861084,17.78424454,0.555,0.013615536,0.017154481,0.024698855,0.016043605,0.011754163,0.010172713,0.010647275,0.004706115
83.38624573,17.78044891,0.225,0.019493103,0.017805645,0.027313873,0.023495242,0.03300032,0.031547926,0.01565144,0.02383245
83.38716125,17.78531647,0.995,0.010111215,0.013534419,0.017910082,0.006837761,0.0063546,0.007882291,0.00832354,0.003750962
83.38711548,17.78197479,1.889,0.010083145,0.013459276,0.01849396,0.007668197,0.006031756,0.007046986,0.006958864,0.003270189
83.38691711,17.78143501,1.944,0.011015564,0.014034739,0.020344239,0.009093539,0.006557218,0.007132111,0.007000086,0.003526907
83.38735962,17.78603554,2.584,0.01081368,0.013588386,0.017961236,0.007641733,0.006619721,0.00814265,0.008155408,0.003934736
83.38864899,17.78376198,6.276,0.008913063,0.011040411,0.012472003,0.005035995,0.004801472,0.006096703,0.005903773,0.002388588
83.38643646,17.7808075,0.893,0.010547002,0.01545227,0.021441745,0.013187276,0.011079717,0.008644302,0.008183547,0.004481253
83.38676453,17.78396606,2.308,0.010982905,0.014002249,0.018708101,0.008305628,0.00714276,0.00857166,0.008490421,0.004007332
83.38744354,17.78531265,3.62,0.010108163,0.013059158,0.016455866,0.006300514,0.005868798,0.007795119,0.008026849,0.003566988
83.39241791,17.78380585,10.357,0.009106812,0.009001173,0.009015965,0.003497252,0.003726487,0.004218151,0.004407334,0.001575516
83.38764191,17.78603172,3.47,0.009876362,0.01274554,0.016757809,0.006614654,0.006046565,0.007794913,0.007985382,0.003677323
83.38615417,17.78072166,0.118,0.014746552,0.016709967,0.024035577,0.018817311,0.014101502,0.010976635,0.011395305,0.006684572
83.38805389,17.78151131,2.78,0.009951583,0.011342455,0.014171313,0.005652583,0.005276729,0.006175127,0.005683903,0.002496617
83.38793182,17.7863903,3.572,0.009874695,0.012692137,0.017058311,0.007238099,0.006838019,0.008011248,0.00811148,0.003787429
83.38784027,17.7865715,3.26,0.010051559,0.012902462,0.020111645,0.010002482,0.008420146,0.008703548,0.008493033,0.003787429
83.39137268,17.78282547,9.797,0.007230331,0.009637602,0.009572656,0.003720686,0.003506443,0.004217288,0.004407382,0.001612248
83.39040375,17.7813015,7.647,0.007519352,0.008573918,0.009214628,0.003581655,0.003148715,0.004473772,0.004403312,0.001832151
83.39203644,17.78344917,9.873,0.009107586,0.009054989,0.00942161,0.003809458,0.003329371,0.004434411,0.004364886,0.001501924
83.38716125,17.78549576,1.002,0.009820723,0.013430083,0.017861594,0.007060931,0.00648683,0.008141775,0.00832403,0.003787798
83.38697052,17.78531837,2.018,0.01198194,0.013588468,0.019312648,0.007730944,0.006751357,0.008272137,0.008408828,0.003898087
83.38915253,17.7861042,6.109,0.009040384,0.011311429,0.012629727,0.005267767,0.005072426,0.006838187,0.006626888,0.002977598
83.38616943,17.78144455,0.905,0.012599312,0.015458392,0.021547137,0.011323702,0.008583251,0.008344989,0.008186227,0.004445688
83.38963318,17.78700256,5.894,0.008102611,0.010574155,0.012225802,0.004731254,0.004719844,0.006535421,0.006373749,0.002830888
83.39167023,17.78417778,9.632,0.009235973,0.009646425,0.009832531,0.004085292,0.003820698,0.004959382,0.004919766,0.001797336
83.3922348,17.78398895,10.471,0.009110795,0.009480038,0.009575637,0.004034933,0.003508413,0.004653011,0.004409531,0.00161263
83.38703156,17.78269768,2.166,0.010324162,0.013201356,0.018900331,0.007807845,0.00634346,0.007612784,0.007300792,0.003454492
83.3859024,17.78307343,0.76,0.012733589,0.016728913,0.023549663,0.013199256,0.009951792,0.010038741,0.009714778,0.004851882
83.38624573,17.78054047,0.625,0.019492935,0.018852161,0.026173372,0.02106956,0.016417051,0.011709022,0.015356412,0.007198182
83.38664246,17.78198051,1.804,0.010731468,0.014671847,0.01974828,0.008518319,0.00717693,0.007956436,0.007340904,0.003747936
83.39045715,17.78500557,7.584,0.008375324,0.010242154,0.011508239,0.004809426,0.004357543,0.0052275,0.005392447,0.00220361
83.38624573,17.78063011,1.276,0.014745764,0.018643089,0.025178341,0.017531833,0.016417051,0.011709022,0.011182774,0.00719817
83.38722992,17.78359795,3.116,0.009980669,0.012629815,0.01634934,0.006829329,0.005907474,0.007529768,0.007430856,0.003418705
83.38710785,17.78125191,1.715,0.01060268,0.014610215,0.021042183,0.009447709,0.007040127,0.006609483,0.006618202,0.003379303
83.38706207,17.78522682,2.703,0.010111772,0.013588468,0.018061072,0.007417041,0.006354782,0.008011819,0.008365761,0.003787627
83.38581848,17.78379631,0.042,0.018195624,0.023924973,0.032130573,0.02781773,0.027303081,0.018650895,0.018101936,0.006284711
83.39009857,17.78645515,7.432,0.008386126,0.010514271,0.011364955,0.004770815,0.00480389,0.005882574,0.005693399,0.002425727
83.38639832,17.78451157,1.22,0.014080099,0.016526194,0.023703495,0.01324856,0.010351695,0.009007145,0.009591822,0.004559183
83.3861084,17.78442574,0.737,0.014082014,0.017208768,0.025295839,0.016043605,0.012324266,0.010475584,0.01039497,0.004706105
83.38784027,17.7865715,3.129,0.010051559,0.012902462,0.020111645,0.010002482,0.008420146,0.008703548,0.008493033,0.003787429
83.38634491,17.7806282,0.997,0.014744812,0.016812027,0.023685636,0.017311577,0.014101113,0.010976244,0.010126543,0.006684469
83.38670349,17.78640556,0.109,0.017334094,0.02491481,0.033514291,0.027425451,0.034217253,0.025333513,0.018146649,0.008340243
83.38657379,17.78351593,1.701,0.010630107,0.014841547,0.019657424,0.009596753,0.007273604,0.008439856,0.008278064,0.004043866
83.38645172,17.78144073,1.223,0.011020586,0.014457199,0.019646376,0.009140298,0.007306498,0.007651972,0.007805371,0.004188602
83.3868866,17.78604126,0.675,0.017330177,0.015899073,0.021911684,0.012451231,0.009476372,0.009138141,0.009804476,0.00455954
83.38628387,17.7834301,0.816,0.013315348,0.015995568,0.022204632,0.011555157,0.008591898,0.00878636,0.008659021,0.004117438
83.38551331,17.78217506,0.527,0.020205803,0.027179295,0.036264211,0.03433894,0.034988146,0.020576226,0.022967361,0.007237318
83.38716888,17.7857666,2.504,0.009821101,0.013325728,0.018361947,0.007374465,0.007015292,0.008402502,0.008324387,0.00393474
83.38800049,17.78485489,4.424,0.009515172,0.012158813,0.014945297,0.005849555,0.005469605,0.007142386,0.007093729,0.003272118
83.39176178,17.78390503,9.963,0.009232307,0.009589722,0.010033347,0.004082122,0.003774253,0.004914684,0.004876278,0.001723372
83.38697815,17.78567886,2.082,0.013905501,0.013905436,0.019613365,0.008935167,0.00745553,0.008618662,0.008705521,0.003971755
83.38616943,17.78153419,1.011,0.012600136,0.015458392,0.021496756,0.01127967,0.008583251,0.008258941,0.008144943,0.004188716
83.39082336,17.78454781,8.57,0.008544705,0.010341314,0.011202945,0.004538045,0.004221829,0.005571103,0.005263032,0.001945801
83.38760376,17.78314209,3.404,0.009562575,0.012466115,0.015090216,0.005888178,0.005463318,0.006964493,0.006750674,0.003270776
83.38796997,17.78268623,3.787,0.009554104,0.012352725,0.015386655,0.005301793,0.004886748,0.006310325,0.006112713,0.002681988
