lon,lat,depth,b1,b2,b3,b4,b5,b6,b8,b10
83.38731384,17.78251457,2.357,0.010320257,0.013092505,0.01794558,0.007225479,0.005682196,0.00704836,0.006918056,0.003270375
83.38731384,17.78260422,2.403,0.01032112,0.013094668,0.017846402,0.007225479,0.005682196,0.00704836,0.006961721,0.003270492
83.38629913,17.78433228,0.669,0.013614568,0.016525881,0.023653442,0.014358118,0.010351403,0.009006494,0.009465059,0.004559113
83.3868866,17.78586197,1.791,0.013907323,0.015846726,0.021611711,0.011472974,0.008554261,0.009137713,0.009001626,0.004375842
83.38755035,17.78648567,2.207,0.010814506,0.013536186,0.019612653,0.00911314,0.007103627,0.008358329,0.008747331,0.00404495
83.3871994,17.78097916,1.019,0.012701043,0.014238501,0.020789636,0.00980269,0.007257691,0.006737643,0.006616449,0.003158571
83.38687134,17.78504753,2.218,0.011981585,0.014165775,0.018912293,0.008265134,0.006750685,0.008271424,0.008366208,0.003897917
83.39134979,17.78111076,9.647,0.008798701,0.00909235,0.008954946,0.003530246,0.003451814,0.00420855,0.004188215,0.001536435
83.38994598,17.78239059,7.584,0.008005296,0.009961374,0.010941512,0.004306161,0.004039261,0.005044864,0.004918438,0.002054618
83.38685608,17.78351402,1.781,0.010627081,0.013525964,0.018455375,0.007857333,0.00678836,0.00779111,0.007812023,0.00371289
83.39042664,17.78292847,8.258,0.007946721,0.01006667,0.01023605,0.004038461,0.003995007,0.005002154,0.004919312,0.001797108
83.38634491,17.7806282,0.608,0.014744812,0.016812027,0.023685636,0.017311577,0.014101113,0.010976244,0.010126543,0.006684469
83.39167023,17.78417778,9.632,0.009235973,0.009646425,0.009832531,0.004085292,0.003820698,0.004959382,0.004919766,0.001797336
83.38887787,17.78710175,4.455,0.008872387,0.012107147,0.01479678,0.006075781,0.005559788,0.007144726,0.007180024,0.00327255
83.38694,17.78315163,1.888,0.010622649,0.014309564,0.019101903,0.008076937,0.006610603,0.007874673,0.007429401,0.003528719
83.38597107,17.78090477,0.169,0.014750015,0.01707847,0.02473362,0.019481257,0.015284681,0.011151833,0.011395305,0.006171348
83.38582611,17.78406715,0.28,0.019698873,0.020495879,0.029412627,0.02597349,0.029597614,0.021481635,0.016841149,0.006284805
83.38700867,17.78116226,1.242,0.010603695,0.014611027,0.021989675,0.010295289,0.007215074,0.006739295,0.006787451,0.003379313
83.38734436,17.78486252,3.421,0.010106864,0.013267923,0.016303474,0.006478696,0.005823987,0.007794396,0.007815017,0.003640273
83.3902359,17.78293037,8.354,0.008183612,0.010174678,0.010388724,0.003994704,0.004128533,0.00496049,0.004919993,0.001907833
83.3866806,17.78487015,1.807,0.011399788,0.015634732,0.021360315,0.009780211,0.007410322,0.008401399,0.008662431,0.004081706
83.38643646,17.7808075,0.99,0.010547002,0.01545227,0.021441745,0.013187276,0.011079717,0.008644302,0.008183547,0.004481253
83.38645935,17.78252411,1.668,0.010621718,0.014202836,0.019852605,0.008655855,0.007048295,0.00813313,0.007682655,0.003785635
83.38651276,17.78631783,0.242,0.017335506,0.03331637,0.040097259,0.046513215,0.045289632,0.050324146,0.037329379,0.015781859
83.38922882,17.78465843,7.278,0.008681181,0.010777292,0.012322126,0.004949265,0.004626875,0.006314654,0.005904255,0.002462368
83.38648987,17.78460121,1.545,0.011399882,0.016106963,0.023354733,0.012938054,0.009079369,0.009006772,0.009296426,0.004265204
83.38561249,17.7826252,0.615,0.020381169,0.019287882,0.027574327,0.024781654,0.023352748,0.019248199,0.015659513,0.00701758
83.38677979,17.78495979,2.399,0.011981585,0.014848677,0.019912211,0.008800638,0.007278672,0.008227986,0.008493263,0.004081646
83.38710022,17.78098106,1.411,0.012702025,0.014502564,0.021190142,0.010516107,0.007258154,0.006739254,0.006828349,0.003158689
83.38658905,17.7849617,0.992,0.011983565,0.016161071,0.022906912,0.011738626,0.009431114,0.008877718,0.009043354,0.00408193
83.38698578,17.78622055,0.088,0.017330581,0.015377248,0.021811232,0.011829142,0.009476602,0.009138353,0.009593499,0.004559594
