Lon,lat,depth,b1,b2,b3,b4,b5,b6,b8,b10
83.38616943,17.78144455,0.954,0.012599312,0.015458392,0.021547137,0.011323702,0.008583251,0.008186227,0.004445688,0.003240423
83.38655853,17.78279495,0.953,0.010623271,0.014099793,0.019853042,0.008567711,0.006698379,0.007429284,0.003749223,0.002860308
83.38742828,17.78395844,4.095,0.009631004,0.01194767,0.014390631,0.006161249,0.005821433,0.007346737,0.003308603,0.002023403
83.38643646,17.78071785,0.646,0.010546153,0.015868919,0.022738377,0.014651181,0.011692163,0.00869054,0.004481264,0.003886831
83.38876343,17.78565788,5.985,0.008924981,0.011523766,0.013234474,0.00522268,0.005292319,0.006881109,0.002941051,0.002441899
83.39041138,17.7814827,7.173,0.007521159,0.008628357,0.00901363,0.003582697,0.003547562,0.004193225,0.001832028,0.001373936
83.39183044,17.78227806,9.765,0.008687695,0.00915333,0.00860459,0.003311464,0.003060083,0.004275507,0.001500686,0.001335837
83.38654327,17.78125954,1.026,0.011017886,0.014036314,0.019543912,0.009138896,0.007306457,0.007677484,0.003710814,0.003354305
83.3881073,17.78593636,5.436,0.009871813,0.011687253,0.014395279,0.005852526,0.005780201,0.007434141,0.003419773,0.002898813
83.38601685,17.78415489,0.642,0.013615688,0.018199325,0.025394833,0.017194603,0.015079072,0.010943029,0.006027739,0.00491535
83.38801575,17.78566742,4.342,0.009986944,0.012109996,0.014847424,0.005717719,0.005823694,0.007603061,0.003493001,0.00263245
83.39211273,17.78209496,10.315,0.008447189,0.008829691,0.008297861,0.002906189,0.002704719,0.003766002,0.001536703,0.001335592
83.38634491,17.7808094,0.939,0.014745445,0.016028266,0.022738377,0.014651181,0.01108014,0.00869054,0.004555133,0.004533756
83.39176178,17.78417587,9.662,0.009234935,0.009696875,0.009832531,0.00404005,0.003820743,0.004919733,0.001797212,0.001450892
83.38626099,17.78171349,1.408,0.011668498,0.015091206,0.020747306,0.009633154,0.007835665,0.008018127,0.004078736,0.003126246
83.38617706,17.78243828,1.01,0.012258564,0.014154082,0.02000355,0.009191957,0.007225401,0.00827488,0.004189877,0.003659302
83.38676453,17.78414726,2.549,0.010984602,0.014371787,0.018758098,0.008485387,0.00736343,0.008448864,0.00400754,0.00293696
83.39146423,17.78273392,9.346,0.007229428,0.009318975,0.00942042,0.003449984,0.003504568,0.004406283,0.001612132,0.001336124
83.38742828,17.78395844,3.693,0.009631004,0.01194767,0.014390631,0.006161249,0.005821433,0.007346737,0.003308603,0.002023403
83.3901825,17.78545952,7.738,0.008381899,0.010298903,0.01136184,0.004812271,0.004448093,0.00564848,0.002314735,0.001946659
83.39082336,17.78436852,8.844,0.008543184,0.010341314,0.01089929,0.004402943,0.004222278,0.005178036,0.001945663,0.001603596
83.38703156,17.78251648,2.206,0.010323302,0.013988259,0.01919903,0.00820684,0.006518026,0.007215491,0.003454376,0.002631678
83.38634491,17.7806282,0.534,0.014744812,0.016812027,0.023685636,0.017311577,0.014101113,0.010126543,0.006684469,0.005294581
83.39057922,17.78708076,7.567,0.008208791,0.009773423,0.011162785,0.004323144,0.004319702,0.005862597,0.002462155,0.001908863
83.38784027,17.7865715,2.87,0.010051559,0.012902462,0.020111645,0.010002482,0.008420146,0.008493033,0.003787429,0.002899069
83.3864975,17.78496361,1.259,0.011985093,0.016421787,0.024500558,0.014314773,0.009562967,0.009508135,0.004155262,0.003469802
83.38624573,17.78054047,0.427,0.019492935,0.018852161,0.026173372,0.02106956,0.016417051,0.015356412,0.007198182,0.008109255
